"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"100800","WEST TEXAS"," ET Genco Fuel","MQ","DPQ","D","3880","3880","1800","2080","N","N","N","Y",""
"100734","WEST TEXAS","3 BEAR LEA","M2","RPQ","R","55000","60000","41202","18798","Y","N","N","Y",""
"28786","PANHANDLE","ADOBE OWENS CORNING","MQ","DPQ","D","13000","13000","6000","7000","N","N","N","Y",""
"79049","PANHANDLE","ATMOS AIRPORT I/C","MQ","DPQ","D","250","250","1","249","N","N","N","Y",""
"79052","PANHANDLE","ATMOS CANYON WEST I/C","MQ","DPQ","D","3000","3000","1100","1900","N","N","N","Y",""
"79058","PANHANDLE","ATMOS PAMPA NORTH","MQ","DPQ","D","15600","15600","2700","12900","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","M2","RPQ","R","85000","85000","40000","45000","N","N","N","Y",""
"78474","PANHANDLE","ATMOS RANDALL COUNTY","MQ","DPQ","D","120000","120000","14088","105912","N","N","N","Y",""
"100732","PHOENIX","Arlington Valley Plant","MQ","DPQ","D","250000","250000","24736","225264","Y","N","N","Y",""
"500536","SAN JUAN2","BP FLORIDA PLANT I/C","M2","RPQ","R","360000","360000","66019","293981","Y","N","N","Y",""
"78424","SAN JUAN","CONOCO BLANCO PLANT I/C","M2","RPQ","R","550000","550000","65000","485000","Y","N","N","Y",""
"56339","CENTRAL","DAGGER DRAW","M2","RPQ","R","55000","56000","46028","9972","N","N","N","Y",""
"78477","PANHANDLE","DAIRICONCEPTS - ROOSEVELT","MQ","DPQ","D","6000","6000","2250","3750","N","N","N","Y",""
"10703","CENTRAL","DCP Artesia","M2","RPQ","R","43000","38000","30800","7200","Y","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","43576","81424","Y","N","N","Y",""
"13199","CENTRAL","EASTERN NEW MEXICO ROOSEVELT","MQ","DPQ","D","10000","10000","402","9598","N","N","N","Y",""
"500540","SAN JUAN2","EL PASO BLANCO I/C","MQ","DPQ","D","440000","440000","98980","341020","Y","N","N","Y",""
"57336","PANHANDLE","ENERGAS DEL-GRAY","MQ","DPQ","D","50000","10000","293","9707","Y","N","N","Y",""
